GeneInfo	AM_N_056	AM_N_068	AM_N_072	AM_P_053	AM_P_057	AM_P_061	AM_SL_050	AM_SL_054	AM_SL_058	AM_SM_051	AM_SM_059	AM_SM_075
N_unmapped	709281	11334866	17660079	844932	10612384	972168	9289820	828762	9770459	591216	6112253	913788
N_multimapping	805379	301716	337331	541670	259292	674854	380490	648387	436032	567061	409660	833210
N_noFeature	2450200	1091527	1127176	1959943	947343	2192222	1313779	2008813	1577958	1912462	1632347	2794748
N_ambiguous	11260414	5357713	5133821	8123589	4137263	9609815	5706031	9267591	6124604	9434987	7651768	12651049
rna-XR_001705491.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001705490.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_623972.6	30	11	18	23	11	22	15	18	16	21	23	38
rna-XM_006557405.3	4	1	3	3	0	2	4	2	4	1	5	7
rna-XM_006557404.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_623949.6	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557406.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446303.1	252	68	66	170	67	178	105	228	135	134	149	219
rna-XM_026439913.1	6	0	2	10	1	3	4	2	0	4	3	8
rna-NM_001242554.1	21	10	6	11	1	8	11	15	8	20	7	13
rna-XM_016917677.1	5	2	1	1	1	2	2	3	4	6	2	5
rna-XM_016917679.2	0	0	0	0	0	0	0	1	0	0	0	0
rna-XM_016917662.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026440071.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917667.2	8	2	6	4	11	2	0	1	3	3	9	9
rna-XM_006557400.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917672.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_394142.7	200	88	121	157	83	152	90	137	118	150	164	262
rna-XM_392111.7	3318	1257	1162	2118	874	2225	1057	3305	1672	2908	1576	4294
rna-XM_016910851.2	23	18	14	19	7	14	13	32	11	20	12	19
rna-XM_016910856.2	0	0	0	0	0	0	0	2	0	0	1	3
rna-XR_001702207.2	15	7	5	19	5	7	19	6	9	12	12	15
rna-XM_026443867.1	17	9	5	8	4	1	9	14	9	9	5	6
rna-XM_006557392.2	3228	1619	1550	2243	1201	1877	1570	2126	1419	2115	1563	2680
rna-XR_001702201.2	17	4	3	2	1	0	1	2	1	3	1	12
rna-XM_026443863.1	1031	485	526	667	449	830	530	551	483	806	699	959
rna-XM_006557389.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026443894.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_394141.4	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557388.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557391.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_392109.6	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016910832.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557387.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_394140.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446104.1	1085	325	537	721	355	892	462	807	457	612	486	952
rna-XM_016910793.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557376.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016910803.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557380.3	0	0	0	0	0	0	0	0	0	0	0	0
