GeneID	GeneInfo	Gene_Desc	AM_N_056	AM_N_068	AM_N_072	AM_P_053	AM_P_057	AM_P_061	AM_SL_050	AM_SL_054	AM_SL_058	AM_SM_051	AM_SM_059	AM_SM_075	Class
18-w	NM_001013361.1	18-wheeler	723	566	330	634	341	597	459	516	530	500	410	709	Canon
5-HT1	NM_001171108.1	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT1	XM_006560049.3	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT1	XM_006560051.3	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT1	XM_006560052.3	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT1	XM_006560054.3	serotonin receptor	3	4	2	1	1	4	3	1	0	3	5	1	NA
5-HT1	XM_016915677.2	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT2alpha	NM_001202460.1	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT2alpha	XM_006561559.2	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT2alpha	XM_006561560.3	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT2alpha	XM_006561561.2	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT2alpha	XM_006561562.2	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT2alpha	XM_026442611.1	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT2beta	NM_001204249.1	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT2beta	XM_026443084.1	serotonin receptor	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-HT2beta	XM_026443085.1	serotonin receptor	16	7	10	12	6	29	3	15	7	18	8	35	NA
5-ht7	NM_001077821.1	serotonin receptor 7	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-ht7	XM_026441119.1	serotonin receptor 7	0	0	0	0	2	0	0	0	0	0	0	0	NA
5-ht7	XM_026441115.1	serotonin receptor 7	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-ht7	XM_026441116.1	serotonin receptor 7	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-ht7	XM_026441118.1	serotonin receptor 7	0	0	0	0	0	0	0	0	0	0	0	0	NA
5-ht7	XM_026441117.1	serotonin receptor 7	0	0	0	0	0	0	0	0	0	0	0	0	NA
A4	NM_001114198.1	apolipophorin-III-like protein	27281	3460	4546	8539	2622	5891	1772	7137	2264	4857	3403	6224	NA
Abscam	NM_001040235.2	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_006558108.3	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_006558109.3	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_006558110.3	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_006558111.3	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_006558113.3	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_006558114.3	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_006558115.3	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_006558116.3	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_026441099.1	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_026441100.1	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_016912485.2	Dscam family member AbsCAM	0	0	0	0	0	0	0	0	0	0	0	0	NA
Abscam	XM_026441101.1	Dscam family member AbsCAM	0	0	0	1	0	0	0	0	0	0	0	2	NA
Ac3	NM_001077808.1	adenylate cyclase 3	34	16	11	6	9	5	15	10	12	7	15	15	NA
Ac3	XM_006566247.3	adenylate cyclase 3	24	10	8	3	4	10	3	1	16	5	3	7	NA
Ac3	XM_016914661.2	adenylate cyclase 3	3	7	3	7	1	8	6	3	3	1	2	8	NA
AChE-2	NM_001040230.1	acetylcholinesterase 2	123	64	63	117	38	88	54	71	69	79	31	128	NonCanon
Acph-1	NM_001013359.2	venom acid phosphatase	0	0	3	4	0	4	0	4	0	2	2	5	NA
Acph-1	XM_016912049.2	venom acid phosphatase	8	5	2	6	3	76	5	13	9	28	45	24	NA
Acph-1	XM_006569889.2	venom acid phosphatase	1	4	0	2	4	7	5	5	1	4	7	6	NA
