GeneInfo	GeneID	Gene_Desc	PL_N_1906	PL_N_1908	PL_N_1909	PL_P_1912	PL_P_1915	PL_P_1920	PL_SL_1926	PL_SL_1927	PL_SL_1930	PL_SM_1936	PL_SM_1939	PL_SM_1940
LOC106784199	NA	NA	506	759	659	393	188	459	423	720	400	591	879	421
LOC106784699	NA	NA	2	0	0	1	0	1	0	1	0	1	2	0
LOC106784881	NA	NA	0	9	4	14	1	13	5	7	1	6	1	7
LOC106784974	NA	NA	67	238	47	110	102	142	121	130	132	62	112	154
LOC106785022	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC106785063	NA	NA	2	13	0	0	3	8	6	7	8	0	4	5
LOC106785764	NA	NA	1	10	0	7	5	19	18	4	12	27	18	20
LOC106786461	NA	NA	52	111	177	770	19	35	61	89	225	222	89	73
LOC106788065	NA	NA	2	1	0	5	0	1	2	0	5	0	3	1
LOC106789069	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC106789562	NA	NA	534	997	570	514	667	629	683	683	675	468	635	727
LOC106790118	NA	NA	53	45	42	63	39	62	75	90	57	57	33	54
LOC106790180	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC106790181	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC106790938	NA	NA	67	128	53	91	43	80	59	75	88	47	61	96
LOC106791523	NA	NA	108	165	28	105	83	167	238	111	91	98	264	248
LOC106791708	NA	NA	340	492	537	315	289	272	414	213	218	372	299	502
LOC106791709	NA	NA	0	0	0	0	0	0	0	0	0	0	3	0
LOC106791745	NA	NA	346	362	313	510	468	360	422	366	504	314	403	474
LOC106792187	NA	NA	73	267	42	111	60	112	92	107	148	67	118	133
LOC106792423	NA	NA	1246	1100	1039	813	981	1158	1242	1535	1676	541	915	874
LOC106792427	NA	NA	123	143	75	150	109	114	133	156	117	150	147	209
LOC106792627	NA	NA	3	4	0	0	6	1	9	1	2	4	3	5
LOC106792648	NA	NA	0	0	0	3	1	2	2	2	0	1	5	3
LOC106792717	NA	NA	2	0	2	0	2	1	0	1	0	0	3	2
LOC106792726	NA	NA	0	4	1	0	0	0	0	1	0	0	0	2
LOC106792731	NA	NA	102	108	110	88	94	148	64	99	135	91	69	215
LOC106792744	NA	NA	2	4	0	3	0	7	5	7	3	0	4	2
LOC106792761	NA	NA	84	138	67	73	44	103	39	66	69	47	23	37
LOC106792806	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC106792825	NA	NA	0	0	0	0	1	4	0	0	0	0	0	0
LOC106792855	NA	NA	1	2	0	0	1	5	5	5	1	0	1	8
LOC106792885	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC106792886	NA	NA	924	876	788	583	851	1382	400	600	831	511	347	395
LOC106792887	NA	NA	0	1	0	2	0	2	0	0	0	0	0	0
LOC106792898	NA	NA	45	45	44	28	38	61	6	18	44	19	21	20
LOC106792906	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC106792922	NA	NA	0	0	0	0	4	2	1	0	0	0	4	5
LOC106792928	NA	NA	1	0	0	1	0	2	4	1	0	0	2	1
LOC106792955	NA	NA	0	0	0	0	0	0	1	0	1	0	0	0
LOC106793275	NA	NA	28	46	18	26	19	49	27	39	49	38	31	36
LOC106793348	NA	NA	1543	3020	13	1747	2048	2044	2306	1887	2154	902	2768	1801
Trnaa-agc	NA	NA	2	0	0	0	0	0	0	0	0	0	0	0
Trnaa-agc-2	NA	NA	0	0	0	0	0	0	0	1	0	0	0	0
Trnaa-agc-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaa-agc-4	NA	NA	0	0	0	0	0	3	0	0	0	0	2	4
Trnaa-agc-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaa-agc-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaa-agc-7	NA	NA	0	0	0	0	1	0	1	0	0	1	1	0
Trnaa-agc-8	NA	NA	0	0	0	0	0	1	0	0	0	0	0	0
Trnaa-agc-9	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaa-cgc	NA	NA	2	1	0	2	0	0	0	0	0	1	0	1
Trnaa-cgc-2	NA	NA	0	0	0	0	0	0	0	1	0	1	1	0
Trnaa-cgc-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaa-ugc	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaa-ugc-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaa-ugc-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaa-ugc-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnac-gca	NA	NA	0	0	0	0	0	0	0	0	0	0	0	3
Trnac-gca-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnac-gca-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnac-gca-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnad-guc	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnad-guc-2	NA	NA	3	2	2	1	5	0	1	1	1	0	2	2
Trnad-guc-3	NA	NA	3	6	0	7	2	2	5	4	4	2	6	0
Trnad-guc-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnad-guc-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnad-guc-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1
Trnad-guc-7	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnad-guc-8	NA	NA	1	0	0	3	2	3	0	2	0	1	0	0
Trnad-guc-9	NA	NA	0	0	1	2	0	0	0	0	2	1	4	0
Trnae-cuc	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnae-cuc-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnae-cuc-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnae-uuc	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0
Trnae-uuc-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnae-uuc-3	NA	NA	0	0	0	0	0	0	0	2	0	0	0	0
Trnae-uuc-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnae-uuc-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnae-uuc-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaf-gaa	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaf-gaa-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaf-gaa-3	NA	NA	0	0	0	0	1	3	1	1	0	5	0	1
Trnaf-gaa-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaf-gaa-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaf-gaa-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnag-ccc	NA	NA	3	1	1	3	1	0	3	1	2	1	2	1
Trnag-gcc	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnag-gcc-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnag-gcc-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnag-gcc-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnag-gcc-5	NA	NA	0	1	0	0	0	0	0	0	0	0	0	0
Trnag-gcc-6	NA	NA	0	0	0	0	0	0	0	0	0	1	0	0
Trnag-gcc-7	NA	NA	0	1	0	0	1	0	0	1	1	0	0	2
Trnag-gcc-8	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnag-ucc	NA	NA	1	0	0	0	0	0	0	2	0	0	0	2
Trnag-ucc-2	NA	NA	0	0	0	1	0	0	0	0	0	1	0	2
Trnag-ucc-3	NA	NA	0	1	0	0	0	0	0	0	0	0	0	0
Trnag-ucc-4	NA	NA	0	0	0	0	0	1	0	0	0	0	0	0
Trnah-gug	NA	NA	0	0	1	0	1	1	1	0	1	0	1	1
Trnah-gug-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnah-gug-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnah-gug-4	NA	NA	0	0	0	0	0	0	0	0	0	1	0	0
Trnai-aau	NA	NA	0	0	0	0	1	0	0	1	0	0	1	0
Trnai-aau-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnai-aau-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnai-aau-4	NA	NA	1	0	0	1	0	1	1	0	0	0	0	0
