GeneInfo	GeneID	Gene_Desc	BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
LOC100642400	NA	NA	1830	2238	2631	1931	1699	1616	1781	1798	1857	1066	901	1161
LOC100642548	NA	NA	45	18	27	30	9	18	22	36	18	26	18	28
LOC100643519	NA	NA	82	97	95	80	82	89	109	54	95	56	61	83
LOC100643752	NA	NA	62	34	45	75	89	50	88	95	97	49	19	35
LOC100644119	NA	NA	114	93	53	57	85	76	107	10	32	85	22	38
LOC100644738	NA	NA	117	137	161	140	115	127	208	88	111	133	97	102
LOC100644932	NA	NA	982	1125	896	791	700	724	983	691	655	728	656	722
LOC100645055	NA	NA	7	2	1	3	0	1	2	5	7	4	1	3
LOC100645152	NA	NA	170	186	128	144	149	145	223	140	153	167	111	139
LOC100645627	NA	NA	3122	3380	2414	2674	2656	2794	3494	2372	2525	2671	2437	2384
LOC100645752	NA	NA	1402	558	424	433	326	366	398	408	612	551	230	298
LOC100645917	NA	NA	4	6	5	4	2	4	2	0	2	4	4	3
LOC100646074	NA	NA	8	2	6	3	3	7	3	1	3	4	6	5
LOC100646393	NA	NA	152	132	125	122	111	100	141	113	110	133	65	85
LOC100646641	NA	NA	45808	71128	72064	36384	36794	52700	35807	58436	37964	26947	34705	38955
LOC100646963	NA	NA	694	737	480	680	607	652	677	654	568	538	477	626
LOC100647349	NA	NA	61	56	80	82	79	52	89	54	53	42	40	42
LOC100647602	NA	NA	674	715	539	417	534	459	780	552	545	551	394	430
LOC100647942	NA	NA	21	13	6	12	9	11	3	15	16	10	17	12
LOC100648371	NA	NA	97	111	104	80	89	65	103	96	84	88	56	86
LOC100649053	NA	NA	8	7	10	8	2	0	3	3	1	5	3	3
LOC100649195	NA	NA	581	500	419	273	346	334	371	328	388	372	231	326
LOC100649300	NA	NA	0	0	0	0	1	0	0	0	0	0	3	1
LOC100649864	NA	NA	38	50	51	43	24	26	38	33	22	51	22	50
LOC100649985	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100650352	NA	NA	0	4	1	20	8	15	20	0	7	1	10	21
LOC100650590	NA	NA	0	0	0	0	2	2	1	0	1	1	0	1
LOC100651045	NA	NA	97	104	96	86	66	84	103	81	75	92	83	65
LOC100651908	NA	NA	205	244	167	154	162	181	285	156	132	204	202	155
LOC100651943	NA	NA	17	12	9	11	18	10	23	1	7	8	4	9
LOC100652299	NA	NA	520	580	507	428	427	484	620	449	393	525	502	436
LOC105665641	NA	NA	4	0	0	0	0	3	0	0	0	1	1	0
LOC105665762	NA	NA	7	6	5	8	23	7	9	19	33	5	6	9
LOC105665803	NA	NA	3	3	9	1	0	4	11	4	4	4	1	2
LOC105665973	NA	NA	60	69	68	43	35	32	59	41	44	71	20	31
LOC105666037	NA	NA	0	0	0	0	0	0	1	0	0	0	0	0
LOC105666191	NA	NA	1150	1430	1002	951	1120	1257	1666	1180	1045	1203	1257	1140
LOC105666330	NA	NA	100	75	65	47	53	59	107	90	61	81	50	36
LOC105666571	NA	NA	20	43	57	58	50	61	118	30	22	16	36	36
LOC105666768	NA	NA	213	165	159	147	219	184	291	219	121	128	139	117
LOC105666779	NA	NA	47	49	25	31	37	30	60	29	29	41	30	25
LOC105666869	NA	NA	0	1	3	0	0	1	0	1	0	2	0	3
LOC105666901	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC105666915	NA	NA	1242	1490	1330	1419	1157	1220	1551	1248	1342	1002	1008	1127
LOC105666919	NA	NA	395	347	332	340	254	304	361	276	257	282	197	240
LOC105666971	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0
LOC105666980	NA	NA	13	9	4	8	6	7	4	4	3	5	6	6
LOC105667055	NA	NA	1	1	0	0	0	0	0	0	1	0	0	0
LOC105667075	NA	NA	131	159	95	92	130	130	172	110	141	113	85	88
LOC105667201	NA	NA	65	92	53	43	40	76	55	47	26	79	80	61
LOC110119325	NA	NA	56	45	66	39	37	33	40	34	35	27	23	33
LOC110119460	NA	NA	15	8	15	13	5	8	16	9	16	6	7	12
LOC110119468	NA	NA	0	0	0	0	0	0	0	1	0	0	0	0
LOC110119525	NA	NA	5563	40228	16719	10557	19143	45869	5501	47718	16868	2058	22747	30741
LOC110119572	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110119624	NA	NA	110	161	145	140	121	176	197	123	79	106	138	121
LOC110119768	NA	NA	93	32	95	30	45	34	56	60	17	38	28	38
LOC110119826	NA	NA	0	0	2	0	0	1	0	0	1	0	0	2
LOC110119868	NA	NA	0	0	0	0	0	0	1	1	3	1	0	0
LOC110119879	NA	NA	15	32	29	23	18	8	36	28	46	57	33	20
LOC110119939	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110119982	NA	NA	5	1	2	2	2	1	7	3	2	0	0	3
LOC110120069	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110120107	NA	NA	3	9	17	9	6	10	16	6	11	3	12	5
LOC110120154	NA	NA	17	22	24	14	17	24	9	4	19	14	27	10
LOC110120169	NA	NA	3	0	0	0	0	0	1	1	2	0	0	0
LOC110120170	NA	NA	0	3	0	0	1	0	2	2	0	0	0	2
LOC110120236	NA	NA	1	5	1	2	3	0	1	6	3	0	0	0
LOC110120261	NA	NA	95	89	118	56	39	56	47	45	36	35	34	51
LOC110120280	NA	NA	1	3	5	9	0	3	2	4	3	8	4	4
LOC110120339	NA	NA	28427	18634	15629	19021	12981	14839	16996	16689	14165	17628	10997	13700
LOC110120344	NA	NA	0	0	2	1	1	0	0	1	3	1	0	0
LOC110120352	NA	NA	37	50	45	44	23	39	58	47	35	28	29	31
NM_001280889.2	npve	acyl-CoA delta-9 desaturase	15967	26360	22531	20019	17722	20668	22270	17556	25032	10386	12499	24985
NM_001280894.1	VSP	venom serine protease	1	6	4	5	2	5	4	5	7	23	12	3
NM_001280899.1	F3	silk fibroin 3	6	10	2	4	3	4	2	2	0	8	6	4
NM_001280901.1	F2	silk fibroin 2	13	4	8	4	5	3	2	1	4	13	1	5
NM_001280904.1	F1	silk fibroin 1	9	6	5	4	6	5	8	4	4	11	5	2
NM_001280906.1	LOC100650005	farnesyl pyrophosphate synthase-like	0	1	0	0	0	0	0	0	0	0	0	0
NM_001280909.1	Def	defensin	26076	374	76	40416	2778	109	25378	25098	65186	128358	148928	158
NM_001280911.1	LOC100652317	fatty acid synthase-like	21494	29910	19051	23170	20206	29860	26998	21873	25392	14963	20167	22271
NM_001280911.1-2	NA	NA	230	245	162	160	222	307	299	287	135	86	184	141
NM_001280916.1	Mpk	phosphomevalonate kinase	667	945	617	663	582	640	697	713	678	569	586	590
NM_001280918.1	LOC100646723	geranylgeranyl pyrophosphate synthase-like	616	897	934	1012	714	785	953	929	737	574	547	656
NM_001280921.1	Kr-h1	kruppel homolog 1	1572	683	377	495	753	772	1220	844	534	317	470	493
NM_001280924.1	fem	feminizer	0	0	0	0	0	0	0	0	0	0	0	0
NM_001280926.1	LOC100646012	isopentenyl-diphosphate Delta-isomerase 1-like	2446	2087	1416	1395	1467	2398	1296	2408	1112	861	1622	1226
NM_001280930.1	LOC100647908	mevalonate kinase	32	18	18	18	20	35	26	27	22	21	16	25
NM_001280933.1	LOC100648426	acetyl-CoA acetyltransferase	12843	17606	10966	14345	13205	13747	16310	11664	10249	8778	9440	11217
NM_001280936.1	LOC100644850	diphosphomevalonate decarboxylase	1127	1093	863	784	897	1014	824	952	727	735	781	837
NM_001285398.1	LOC100650274	acyl-CoA Delta(11) desaturase-like	0	0	0	0	0	0	0	0	0	0	0	0
NM_001286444.1	LOC100650033	acyl-CoA Delta(11) desaturase-like	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287563.1	LOC100649922	acyl-CoA Delta(11) desaturase-like	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287565.1	LOC100646090	lipase member H-A-like	0	0	1	0	0	0	0	0	0	0	0	0
NM_001304440.1	LOC100650865	allatotropin receptor	31	51	65	67	36	41	50	25	44	39	32	43
NM_001308306.1	LOC100651787	3-hydroxy-3-methylglutaryl-coenzyme A reductase	0	0	0	0	0	0	0	0	0	0	0	0
NM_001308307.1	LOC100649840	hydroxymethylglutaryl-CoA synthase 1	900	997	665	428	653	990	1443	725	849	445	720	775
NM_001331111.1	LOC100643258	vitellogenin-like	7	17	11	17	11	9	27	19	36	20	10	11
TRNAA-AGC	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-AGC-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-AGC-3	NA	NA	2	1	0	0	0	1	0	1	0	0	0	0
TRNAA-AGC-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-AGC-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-AGC-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-AGC-7	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-AGC-8	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-CGC	NA	NA	1	0	2	0	0	0	0	1	0	1	0	2
TRNAA-CGC-2	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0
TRNAA-CGC-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-UGC	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-UGC-2	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0
TRNAA-UGC-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-UGC-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-UGC-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAC-GCA	NA	NA	3	3	1	1	0	0	0	1	1	0	1	0
TRNAC-GCA-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAC-GCA-3	NA	NA	0	0	2	0	0	0	2	0	0	0	0	0
TRNAC-GCA-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC-3	NA	NA	0	0	0	0	0	1	0	0	0	0	1	0
TRNAD-GUC-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC-6	NA	NA	0	0	0	0	0	0	0	0	1	0	0	0
TRNAD-GUC-7	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC-8	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAE-CUC	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAE-CUC-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAE-CUC-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAE-CUC-4	NA	NA	0	0	2	0	0	1	0	0	0	0	0	0
TRNAE-UUC	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAE-UUC-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAE-UUC-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAE-UUC-4	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0
TRNAE-UUC-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAE-UUC-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAF-GAA	NA	NA	0	0	0	0	0	0	1	0	0	0	0	0
TRNAF-GAA-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAF-GAA-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAF-GAA-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAF-GAA-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-CCC	NA	NA	1	3	1	5	1	1	2	8	4	3	0	2
TRNAG-GCC	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-GCC-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-GCC-3	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0
TRNAG-GCC-4	NA	NA	0	1	1	0	0	0	0	0	0	4	0	2
TRNAG-GCC-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-GCC-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-UCC	NA	NA	0	0	0	0	0	0	1	0	0	0	0	0
TRNAG-UCC-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-UCC-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-UCC-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-UCC-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAH-GUG	NA	NA	0	0	0	0	0	0	5	0	0	0	0	0
TRNAH-GUG-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAH-GUG-3	NA	NA	3	1	1	1	0	0	0	7	1	2	0	2
TRNAH-GUG-4	NA	NA	0	0	0	2	0	3	0	0	0	0	0	0
TRNAH-GUG-5	NA	NA	0	0	0	0	0	0	2	0	0	0	0	0
TRNAH-GUG-6	NA	NA	0	2	2	1	1	0	0	0	1	1	0	1
TRNAI-AAU	NA	NA	0	1	0	0	2	0	0	0	0	0	0	0
TRNAI-AAU-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAI-AAU-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAI-AAU-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAI-AAU-5	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0
TRNAI-AAU-6	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0
TRNAI-UAU	NA	NA	2	0	0	0	0	0	0	0	0	0	0	0
TRNAI-UAU-2	NA	NA	0	1	0	0	0	0	0	0	0	0	0	1
TRNAK-CUU	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAK-CUU-2	NA	NA	2	0	1	0	0	0	0	0	0	0	0	0
TRNAK-CUU-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAK-CUU-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAK-CUU-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAK-CUU-6	NA	NA	2	0	2	3	0	0	0	0	0	0	0	0
TRNAK-UUU	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0
TRNAK-UUU-2	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0
TRNAK-UUU-3	NA	NA	0	0	0	0	0	0	0	0	0	2	0	0
TRNAK-UUU-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAL-AAG	NA	NA	1	0	0	1	0	5	0	0	0	3	0	5
TRNAL-AAG-2	NA	NA	1	3	7	2	2	4	0	1	2	0	2	0
TRNAL-AAG-3	NA	NA	0	0	0	0	0	1	0	0	0	1	0	0
TRNAL-CAA	NA	NA	0	0	0	0	0	0	0	0	0	2	0	0
TRNAL-CAA-2	NA	NA	5	4	14	12	7	8	25	7	14	10	5	7
TRNAL-CAA-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAL-CAG	NA	NA	1	0	0	0	2	0	0	2	0	0	0	0
TRNAL-CAG-2	NA	NA	0	0	0	1	0	0	0	0	0	0	0	1
TRNAL-CAG-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAL-UAA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAL-UAA-2	NA	NA	0	0	1	0	2	2	0	0	1	0	0	0
TRNAL-UAA-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAL-UAG	NA	NA	3	0	1	0	0	0	1	1	0	0	0	0
TRNAM-CAU	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAM-CAU-10	NA	NA	0	0	0	0	0	1	0	0	0	0	0	2
TRNAM-CAU-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAM-CAU-3	NA	NA	0	0	0	0	0	2	0	0	0	0	0	0
TRNAM-CAU-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAM-CAU-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAM-CAU-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAM-CAU-7	NA	NA	0	1	0	2	0	0	0	0	0	1	0	0
TRNAM-CAU-8	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAM-CAU-9	NA	NA	1	0	0	0	0	0	1	0	0	0	0	0
TRNAN-GUU	NA	NA	1	2	0	1	1	1	1	1	0	0	0	1
TRNAN-GUU-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAN-GUU-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAN-GUU-4	NA	NA	0	0	0	0	0	0	0	0	0	2	0	0
TRNAN-GUU-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAN-GUU-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-AGG	NA	NA	5	0	0	0	2	0	3	0	0	0	0	0
TRNAP-AGG-2	NA	NA	0	0	0	0	0	0	0	0	1	0	0	0
TRNAP-AGG-3	NA	NA	0	1	0	0	0	0	0	0	0	0	0	0
TRNAP-AGG-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-CGG	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-CGG-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-CGG-3	NA	NA	0	1	0	0	0	0	0	1	3	0	0	0
TRNAP-UGG	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-UGG-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-UGG-3	NA	NA	0	0	0	0	0	0	1	0	0	0	0	0
TRNAP-UGG-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAQ-CUG	NA	NA	0	0	0	0	2	0	0	1	0	0	0	1
TRNAQ-CUG-2	NA	NA	0	0	0	0	0	0	0	0	3	0	0	1
TRNAQ-CUG-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAQ-CUG-4	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0
TRNAQ-CUG-5	NA	NA	0	0	0	0	0	1	0	0	0	0	0	0
TRNAQ-CUG-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAQ-UUG	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAQ-UUG-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAQ-UUG-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAQ-UUG-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAQ-UUG-5	NA	NA	1	3	2	2	1	3	3	1	7	2	4	3
TRNAQ-UUG-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAR-ACG	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0
TRNAR-ACG-2	NA	NA	8	12	5	9	2	6	3	7	10	4	0	12
TRNAR-ACG-3	NA	NA	1	11	6	2	6	5	0	1	1	5	3	9
TRNAR-ACG-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAR-ACG-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAR-CCU	NA	NA	0	1	0	0	0	0	0	0	0	0	0	0
TRNAR-CCU-2	NA	NA	0	0	2	0	0	1	0	0	0	2	0	0
TRNAR-CCU-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAR-UCG	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAR-UCG-2	NA	NA	2	0	0	1	3	0	0	0	0	0	0	0
TRNAR-UCG-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAR-UCU	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAR-UCU-2	NA	NA	1	1	3	1	1	0	1	3	0	2	0	1
TRNAR-UCU-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-AGA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-AGA-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-AGA-3	NA	NA	0	1	0	0	0	0	0	0	1	0	0	0
TRNAS-AGA-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-AGA-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-CGA	NA	NA	0	0	0	0	0	0	0	0	3	0	0	0
TRNAS-CGA-2	NA	NA	0	0	0	0	0	0	0	1	0	0	0	0
TRNAS-CGA-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-GCU	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-GCU-2	NA	NA	1	0	0	1	0	0	0	0	1	0	0	0
TRNAS-GCU-3	NA	NA	2	0	0	2	5	0	2	2	7	2	2	6
TRNAS-GCU-4	NA	NA	23	25	25	7	4	8	15	10	11	35	7	9
TRNAS-UGA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-UGA-2	NA	NA	5	0	2	1	2	0	3	0	7	1	0	1
TRNAT-AGU	NA	NA	1	2	0	1	0	0	0	0	0	0	1	0
